t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,frame
0.0,7000.0,-2000.0,1200.0,-6.5,-2.0,-1.0,geocentric
1000.0,-6777.082972992546,2973.890475966243,-1192.528794886674,-18.250646879926414,11.28153401438549,-3.308447166043875,geocentric
2000.0,-23576.952373288314,13577.068546455394,-4244.453528875292,-16.347943282550563,10.353950000620712,-2.970892979397002,geocentric
3000.0,-39768.418011024965,23839.701354108016,-7187.140753029493,-16.084474829589617,10.199211490076376,-2.9233725348983484,geocentric
4000.0,-55792.16492721545,34002.30379737666,-10099.532174727754,-15.975772986833563,10.133510977523777,-2.9037114786698774,geocentric
5000.0,-71735.55658385628,44116.01921591615,-12997.380160803725,-15.916135061855298,10.097000482768976,-2.8929109132732775,geocentric
6000.0,-87631.5381007737,54200.60151602245,-15886.63884652675,-15.878392958217448,10.073723431063124,-2.886070657815084,geocentric
7000.0,-103496.16955602824,64265.80197100276,-18770.2143564195,-15.852336169595988,10.057575374432043,-2.8813459053988137,geocentric
8000.0,-119338.50733699286,74317.16278122501,-21649.746759546244,-15.833255989360813,10.045710464219683,-2.877884989798641,geocentric
9000.0,-135164.16812214945,84358.13985751462,-24526.253763832196,-15.818676788909123,10.036621369318873,-2.875239813579823,geocentric
10000.0,-150976.87831396115,94391.03518697515,-27400.410841889225,-15.80717155133763,10.029434521631392,-2.873151942340395,geocentric
11000.0,-166779.23814003106,104417.45997866122,-30272.689474039464,-15.797859429569785,10.023608469498509,-2.871461787618735,geocentric
12000.0,-182573.13461587066,114438.58634153509,-33143.431903076256,-15.790167087672387,10.018789635614631,-2.870065440527785,geocentric
13000.0,-198359.98089539426,124455.29377781386,-36012.89448007355,-15.78370519150285,10.014737281003198,-2.8688923210153736,geocentric
14000.0,-214140.86288040192,134468.25922250407,-38881.27422413969,-15.778200030049932,10.011281789426139,-2.8678927986578002,geocentric
15000.0,-229916.63314507983,144478.0148895408,-41748.72584259199,-15.773453534533424,10.00830019284028,-2.8670309520821955,geocentric
16000.0,-245687.97338907575,154484.98682632865,-44615.37305085171,-15.769318821714508,10.005701157219677,-2.8662801385673915,geocentric
17000.0,-261455.4372878373,164489.52142004637,-47481.31634083412,-15.765684653826716,10.003415419160932,-2.865620178228381,geocentric
18000.0,-277219.4806926083,174491.90411111433,-50346.63845690252,-15.762465238384365,10.001389495518794,-2.8650355053817127,geocentric
19000.0,-292980.48341468716,184492.37291222406,-53211.408346459364,-15.759593342416835,9.99958142928163,-2.86451392037257,geocentric
20000.0,-308738.7652613107,194491.1283732103,-56075.68406845687,-15.757015528799888,9.997957841799373,-2.864045725931815,geocentric
21000.0,-324494.59805319755,204488.34105766632,-58939.514973340825,-15.754688788724147,9.996491845992198,-2.8636231165622226,geocentric
22000.0,-340248.21477506,214484.15724183453,-61802.94336310118,-15.752578115013504,9.99516154068417,-2.863239738466917,geocentric
23000.0,-355999.8166429154,224478.70332023938,-64666.00577351924,-15.750654723176284,9.993948905578764,-2.8628903669051358,geocentric
24000.0,-371749.578632805,234472.0892551234,-67528.73397734965,-15.748894727014546,9.992838977748262,-2.8625706659652823,geocentric
25000.0,-387497.6538562895,244464.41130848243,-70391.15577831332,-15.747278138782576,9.99181922935109,-2.862277007189786,geocentric
26000.0,-403244.17705994984,254455.7542286732,-73253.29564617472,-15.745788104723024,9.990879091440682,-2.862006330886439,geocentric
27000.0,-418989.26745133405,264446.1930173009,-76115.1752296189,-15.74441031375814,9.990009585348464,-2.8617560388449848,geocentric
28000.0,-434733.0310012169,274435.79436953086,-78976.81377411031,-15.74313253523191,9.989203034310751,-2.861523910461815,geocentric
29000.0,-450475.5623345117,284424.61785770464,-81838.22846511166,-15.74194425398936,9.988452835668472,-2.8613080365217765,geocentric
30000.0,-466216.94629502087,294412.7169112907,-84699.4347121157,-15.740836379685907,9.987753279294374,-2.861106766446426,geocentric
31000.0,-481957.2592493091,304400.1396338402,-87560.44638533451,-15.73980101328431,9.987099401658806,-2.8609186659177044,geocentric
32000.0,-497696.57018022705,314386.9294884444,-90421.27601421313,-15.738831258027357,9.98648686762986,-2.8607424825712693,geocentric
33000.0,-513434.94160954806,324373.1258763108,-93281.93495492815,-15.737921065304974,9.985911874046007,-2.8605771180214337,geocentric
34000.0,-529172.4303808028,334358.76462785737,-96142.43353251179,-15.737065108123353,9.985371070520655,-2.8604216048947886,geocentric
35000.0,-544909.0883269935,344343.87842173787,-99002.78116208006,-15.736258676575252,9.984861493989163,-2.860275087856387,geocentric
36000.0,-560644.9628429275,354328.4971441318,-101862.98645274766,-15.735497590973099,9.984380514293797,-2.860136807841359,geocentric
